Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016/4/28,"13,154",8.53,8.53,0.00,3.54,0.00,1.16,3.79,0.00,48.00,28.00,189.00,782.00,"1,898.00"
1503960366,2016/4/29,"11,181",7.15,7.15,0.00,1.06,0.00,0.50,5.58,0.00,16.00,12.00,243.00,815.00,"1,837.00"
1503960366,2016/4/30,"14,673",9.25,9.25,0.00,3.56,0.00,1.42,4.27,0.00,52.00,34.00,217.00,712.00,"1,947.00"
1503960366,2016/5/1,"10,602",6.81,6.81,0.00,2.29,0.00,1.60,2.92,0.00,33.00,35.00,246.00,730.00,"1,820.00"
1503960366,2016/5/2,"14,727",9.71,9.71,0.00,3.21,0.00,0.57,5.92,0.00,41.00,15.00,277.00,798.00,"2,004.00"
1503960366,2016/5/3,"15,103",9.66,9.66,0.00,3.73,0.00,1.05,4.88,0.00,50.00,24.00,254.00,816.00,"1,990.00"
1503960366,2016/5/4,"11,100",7.15,7.15,0.00,2.46,0.00,0.87,3.82,0.00,36.00,22.00,203.00,"1,179.00","1,819.00"
1503960366,2016/5/5,"14,070",8.90,8.90,0.00,2.92,0.00,1.08,4.88,0.00,45.00,24.00,250.00,857.00,"1,959.00"
1503960366,2016/5/6,"12,159",8.03,8.03,0.00,1.97,0.00,0.25,5.81,0.00,24.00,6.00,289.00,754.00,"1,896.00"
1503960366,2016/5/7,"11,992",7.71,7.71,0.00,2.46,0.00,2.12,3.13,0.00,37.00,46.00,175.00,833.00,"1,821.00"
1503960366,2016/5/8,"10,060",6.58,6.58,0.00,3.53,0.00,0.32,2.73,0.00,44.00,8.00,203.00,574.00,"1,740.00"
1503960366,2016/5/9,"12,022",7.72,7.72,0.00,3.45,0.00,0.53,3.74,0.00,46.00,11.00,206.00,835.00,"1,819.00"
1503960366,2016/5/10,"12,207",7.77,7.77,0.00,3.35,0.00,1.16,3.26,0.00,46.00,31.00,214.00,746.00,"1,859.00"
1503960366,2016/5/11,"12,770",8.13,8.13,0.00,2.56,0.00,1.01,4.55,0.00,36.00,23.00,251.00,669.00,"1,783.00"
1503960366,2016/5/12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00",0.00
1624580081,2016/4/12,"8,163",5.31,5.31,0.00,0.00,0.00,0.00,5.31,0.00,0.00,0.00,146.00,"1,294.00","1,432.00"
1624580081,2016/4/13,"7,007",4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,148.00,"1,292.00","1,411.00"
1624580081,2016/4/14,"9,107",5.92,5.92,0.00,0.00,0.01,0.00,5.91,0.01,0.00,0.00,236.00,"1,204.00","1,572.00"
1624580081,2016/4/15,"1,510",0.98,0.98,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,96.00,"1,344.00","1,344.00"
1624580081,2016/4/16,"5,370",3.49,3.49,0.00,0.00,0.00,0.00,3.49,0.00,0.00,0.00,176.00,"1,264.00","1,463.00"
1624580081,2016/4/17,"6,175",4.06,4.06,0.00,1.03,0.01,1.52,1.49,0.01,15.00,22.00,127.00,"1,276.00","1,554.00"
1624580081,2016/4/18,"10,536",7.41,7.41,0.00,2.15,0.01,0.62,4.62,0.01,17.00,7.00,202.00,"1,214.00","1,604.00"
1624580081,2016/4/19,"2,916",1.90,1.90,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,141.00,"1,299.00","1,435.00"
1624580081,2016/4/20,"4,974",3.23,3.23,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,151.00,"1,289.00","1,446.00"
1624580081,2016/4/21,"6,349",4.13,4.13,0.00,0.00,0.02,0.00,4.11,0.02,0.00,0.00,186.00,"1,254.00","1,467.00"
1624580081,2016/4/22,"4,026",2.62,2.62,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,199.00,"1,241.00","1,470.00"
1624580081,2016/4/23,"8,538",5.55,5.55,0.00,0.00,0.01,0.00,5.54,0.01,0.00,0.00,227.00,"1,213.00","1,562.00"
1624580081,2016/4/24,"6,076",3.95,3.95,0.00,1.15,0.00,0.91,1.89,0.00,16.00,18.00,185.00,"1,221.00","1,617.00"
1624580081,2016/4/25,"6,497",4.22,4.22,0.00,0.00,0.02,0.00,4.20,0.02,0.00,0.00,202.00,"1,238.00","1,492.00"
1624580081,2016/4/26,"2,826",1.84,1.84,0.00,0.00,0.01,0.00,1.83,0.01,0.00,0.00,140.00,"1,300.00","1,402.00"
1624580081,2016/4/27,"8,367",5.44,5.44,0.00,1.11,0.00,1.87,2.46,0.00,17.00,36.00,154.00,"1,233.00","1,670.00"
1624580081,2016/4/28,"2,759",1.79,1.79,0.00,0.00,0.00,0.20,1.60,0.00,0.00,5.00,115.00,"1,320.00","1,401.00"
1624580081,2016/4/29,"2,390",1.55,1.55,0.00,0.00,0.00,0.00,1.55,0.00,0.00,0.00,150.00,"1,290.00","1,404.00"
1624580081,2016/4/30,"6,474",4.30,4.30,0.00,0.90,0.01,1.28,2.12,0.01,11.00,23.00,224.00,"1,182.00","1,655.00"
1624580081,2016/5/1,"36,019",28.03,28.03,0.00,21.92,0.02,4.19,1.91,0.02,186.00,63.00,171.00,"1,020.00","2,690.00"
1624580081,2016/5/2,"7,155",4.93,4.93,0.00,0.86,0.00,0.59,3.47,0.00,7.00,6.00,166.00,"1,261.00","1,497.00"
1624580081,2016/5/3,"2,100",1.37,1.37,0.00,0.00,0.02,0.00,1.34,0.02,0.00,0.00,96.00,"1,344.00","1,334.00"
1624580081,2016/5/4,"2,193",1.43,1.43,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,118.00,"1,322.00","1,368.00"
1624580081,2016/5/5,"2,470",1.61,1.61,0.00,0.00,0.02,0.00,1.58,0.02,0.00,0.00,117.00,"1,323.00","1,370.00"
1624580081,2016/5/6,"1,727",1.12,1.12,0.00,0.00,0.01,0.00,1.12,0.01,0.00,0.00,102.00,"1,338.00","1,341.00"
1624580081,2016/5/7,"2,104",1.37,1.37,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,182.00,"1,258.00","1,474.00"
1624580081,2016/5/8,"3,427",2.23,2.23,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,152.00,"1,288.00","1,427.00"
1624580081,2016/5/9,"1,732",1.13,1.13,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,91.00,"1,349.00","1,328.00"
1624580081,2016/5/10,"2,969",1.93,1.93,0.00,0.00,0.01,0.00,1.92,0.01,0.00,0.00,139.00,"1,301.00","1,393.00"
1624580081,2016/5/11,"3,134",2.04,2.04,0.00,0.00,0.00,0.00,2.04,0.00,0.00,0.00,112.00,"1,328.00","1,359.00"
1624580081,2016/5/12,"2,971",1.93,1.93,0.00,0.00,0.01,0.00,1.92,0.01,0.00,0.00,107.00,890.00,"1,002.00"
1644430081,2016/4/12,"10,694",7.77,7.77,0.00,0.14,0.00,2.30,5.33,0.00,2.00,51.00,256.00,"1,131.00","3,199.00"
1644430081,2016/4/13,"8,001",5.82,5.82,0.00,2.28,0.00,0.90,2.64,0.00,30.00,16.00,135.00,"1,259.00","2,902.00"
1644430081,2016/4/14,"11,037",8.02,8.02,0.00,0.36,0.00,2.56,5.10,0.00,5.00,58.00,252.00,"1,125.00","3,226.00"
1644430081,2016/4/15,"5,263",3.83,3.83,0.00,0.22,0.00,0.15,3.45,0.00,3.00,4.00,170.00,"1,263.00","2,750.00"
1644430081,2016/4/16,"15,300",11.12,11.12,0.00,4.10,0.00,1.88,5.09,0.00,51.00,42.00,212.00,"1,135.00","3,493.00"
1644430081,2016/4/17,"8,757",6.37,6.37,0.00,2.25,0.00,0.57,3.55,0.00,29.00,13.00,186.00,"1,212.00","3,011.00"
1644430081,2016/4/18,"7,132",5.19,5.19,0.00,1.07,0.00,1.67,2.45,0.00,15.00,33.00,121.00,"1,271.00","2,806.00"
1644430081,2016/4/19,"11,256",8.18,8.18,0.00,0.36,0.00,2.53,5.30,0.00,5.00,58.00,278.00,"1,099.00","3,300.00"
1644430081,2016/4/20,"2,436",1.77,1.77,0.00,0.00,0.01,0.00,1.76,0.01,0.00,0.00,125.00,"1,315.00","2,430.00"
1644430081,2016/4/21,"1,223",0.89,0.89,0.00,0.00,0.01,0.00,0.88,0.01,0.00,0.00,38.00,"1,402.00","2,140.00"
1644430081,2016/4/22,"3,673",2.67,2.67,0.00,0.00,0.01,0.00,2.66,0.01,0.00,0.00,86.00,"1,354.00","2,344.00"
1644430081,2016/4/23,"6,637",4.83,4.83,0.00,0.00,0.00,0.58,4.25,0.00,0.00,15.00,160.00,"1,265.00","2,677.00"
1644430081,2016/4/24,"3,321",2.41,2.41,0.00,0.00,0.00,0.00,2.41,0.00,0.00,0.00,89.00,"1,351.00","2,413.00"
1644430081,2016/4/25,"3,580",2.60,2.60,0.00,0.59,0.00,0.06,1.95,0.00,8.00,1.00,94.00,"1,337.00","2,497.00"
1644430081,2016/4/26,"9,919",7.21,7.21,0.00,0.80,0.00,1.72,4.69,0.00,11.00,41.00,223.00,"1,165.00","3,123.00"
1644430081,2016/4/27,"3,032",2.20,2.20,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,118.00,"1,322.00","2,489.00"
1644430081,2016/4/28,"9,405",6.84,6.84,0.00,0.20,0.00,2.32,4.31,0.00,3.00,53.00,227.00,"1,157.00","3,108.00"
1644430081,2016/4/29,"3,176",2.31,2.31,0.00,0.00,0.00,0.00,2.31,0.00,0.00,0.00,120.00,"1,193.00","2,498.00"
1644430081,2016/4/30,"18,213",13.24,13.24,0.00,0.63,0.00,3.14,9.46,0.00,9.00,71.00,402.00,816.00,"3,846.00"
1644430081,2016/5/1,"6,132",4.46,4.46,0.00,0.24,0.00,0.99,3.23,0.00,3.00,24.00,146.00,908.00,"2,696.00"
1644430081,2016/5/2,"3,758",2.73,2.73,0.00,0.07,0.00,0.31,2.35,0.00,1.00,7.00,148.00,682.00,"2,580.00"
1644430081,2016/5/3,"12,850",9.34,9.34,0.00,0.72,0.00,4.09,4.54,0.00,10.00,94.00,221.00,"1,115.00","3,324.00"
1644430081,2016/5/4,"2,309",1.68,1.68,0.00,0.00,0.02,0.00,1.66,0.02,0.00,0.00,52.00,"1,388.00","2,222.00"
1644430081,2016/5/5,"4,363",3.19,3.19,0.00,0.52,0.01,0.54,2.13,0.01,6.00,12.00,81.00,"1,341.00","2,463.00"
1644430081,2016/5/6,"9,787",7.12,7.12,0.00,0.82,0.02,0.27,6.01,0.02,11.00,6.00,369.00,"1,054.00","3,328.00"
1644430081,2016/5/7,"13,372",9.72,9.72,0.00,3.26,0.01,0.79,5.67,0.01,41.00,17.00,243.00,"1,139.00","3,404.00"
1644430081,2016/5/8,"6,724",4.89,4.89,0.00,0.00,0.00,0.00,4.88,0.00,0.00,0.00,295.00,991.00,"2,987.00"
1644430081,2016/5/9,"6,643",4.83,4.83,0.00,2.39,0.01,0.35,2.09,0.01,32.00,6.00,303.00,"1,099.00","3,008.00"
1644430081,2016/5/10,"9,167",6.66,6.66,0.00,0.88,0.01,0.81,4.97,0.01,12.00,19.00,155.00,"1,254.00","2,799.00"
1644430081,2016/5/11,"1,329",0.97,0.97,0.00,0.00,0.01,0.00,0.95,0.01,0.00,0.00,49.00,713.00,"1,276.00"
1844505072,2016/4/12,"6,697",4.43,4.43,0.00,0.00,0.00,0.00,4.43,0.00,0.00,0.00,339.00,"1,101.00","2,030.00"
1844505072,2016/4/13,"4,929",3.26,3.26,0.00,0.00,0.00,0.00,3.26,0.00,0.00,0.00,248.00,"1,192.00","1,860.00"
1844505072,2016/4/14,"7,937",5.25,5.25,0.00,0.00,0.00,0.00,5.23,0.00,0.00,0.00,373.00,843.00,"2,130.00"
1844505072,2016/4/15,"3,844",2.54,2.54,0.00,0.00,0.00,0.00,2.54,0.00,0.00,0.00,176.00,527.00,"1,725.00"
1844505072,2016/4/16,"3,414",2.26,2.26,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.00,147.00,"1,293.00","1,657.00"
1844505072,2016/4/17,"4,525",2.99,2.99,0.00,0.14,0.00,0.26,2.59,0.00,2.00,8.00,199.00,"1,231.00","1,793.00"
1844505072,2016/4/18,"4,597",3.04,3.04,0.00,0.00,0.00,0.48,2.56,0.00,0.00,12.00,217.00,"1,211.00","1,814.00"
1844505072,2016/4/19,197,0.13,0.13,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,10.00,"1,430.00","1,366.00"
1844505072,2016/4/20,8,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.00,"1,439.00","1,349.00"
1844505072,2016/4/21,"8,054",5.32,5.32,0.00,0.12,0.00,0.52,4.68,0.00,2.00,13.00,308.00,"1,117.00","2,062.00"
1844505072,2016/4/22,"5,372",3.55,3.55,0.00,0.00,0.00,0.00,3.55,0.00,0.00,0.00,220.00,"1,220.00","1,827.00"
1844505072,2016/4/23,"3,570",2.36,2.36,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.00,139.00,"1,301.00","1,645.00"
1844505072,2016/4/24,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/4/25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/4/26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/4/27,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"1,439.00","1,348.00"
1844505072,2016/4/28,"6,907",4.57,4.57,0.00,0.00,0.00,0.00,4.56,0.00,0.00,0.00,302.00,"1,138.00","1,992.00"
1844505072,2016/4/29,"4,920",3.25,3.25,0.00,0.00,0.00,0.00,3.25,0.00,0.00,0.00,247.00,"1,082.00","1,856.00"
1844505072,2016/4/30,"4,014",2.67,2.67,0.00,0.00,0.00,0.00,2.65,0.00,0.00,0.00,184.00,218.00,"1,763.00"
1844505072,2016/5/1,"2,573",1.70,1.70,0.00,0.00,0.00,0.26,1.45,0.00,0.00,7.00,75.00,585.00,"1,541.00"
1844505072,2016/5/2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,348.00"
1844505072,2016/5/3,"4,059",2.68,2.68,0.00,0.00,0.00,0.00,2.68,0.00,0.00,0.00,184.00,"1,256.00","1,742.00"
1844505072,2016/5/4,"2,080",1.37,1.37,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,87.00,"1,353.00","1,549.00"
1844505072,2016/5/5,"2,237",1.48,1.48,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,120.00,"1,320.00","1,589.00"
1844505072,2016/5/6,44,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,2.00,"1,438.00","1,351.00"
1844505072,2016/5/7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/5/8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/5/9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/5/10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/5/11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","1,347.00"
1844505072,2016/5/12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,711.00,665.00
1927972279,2016/4/12,678,0.47,0.47,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,55.00,734.00,"2,220.00"
1927972279,2016/4/13,356,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,32.00,986.00,"2,151.00"
1927972279,2016/4/14,"2,163",1.50,1.50,0.00,0.00,0.00,0.40,1.10,0.00,0.00,9.00,88.00,"1,292.00","2,383.00"
1927972279,2016/4/15,980,0.68,0.68,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,51.00,941.00,"2,221.00"
1927972279,2016/4/16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,064.00"
1927972279,2016/4/17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/4/18,244,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,17.00,"1,423.00","2,111.00"
1927972279,2016/4/19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/4/20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/4/21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,064.00"
1927972279,2016/4/22,149,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,10.00,"1,430.00","2,093.00"
1927972279,2016/4/23,"2,945",2.04,2.04,0.00,0.00,0.00,0.00,2.04,0.00,0.00,0.00,145.00,"1,295.00","2,499.00"
1927972279,2016/4/24,"2,090",1.45,1.45,0.00,0.07,0.00,0.24,1.14,0.00,1.00,6.00,75.00,"1,358.00","2,324.00"
1927972279,2016/4/25,152,0.11,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,12.00,"1,303.00","2,100.00"
1927972279,2016/4/26,"3,761",2.60,2.60,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,192.00,"1,058.00","2,638.00"
1927972279,2016/4/27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/4/28,"1,675",1.16,1.16,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,95.00,"1,167.00","2,351.00"
1927972279,2016/4/29,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/4/30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,064.00"
1927972279,2016/5/1,"2,704",1.87,1.87,0.00,1.01,0.00,0.03,0.83,0.00,14.00,1.00,70.00,"1,355.00","2,411.00"
1927972279,2016/5/2,"3,790",2.62,2.62,0.00,1.16,0.00,0.30,1.16,0.00,16.00,8.00,94.00,"1,322.00","2,505.00"
1927972279,2016/5/3,"1,326",0.92,0.92,0.00,0.73,0.00,0.00,0.18,0.00,10.00,0.00,17.00,"1,413.00","2,195.00"
1927972279,2016/5/4,"1,786",1.24,1.24,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,87.00,"1,353.00","2,338.00"
1927972279,2016/5/5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/5/6,"2,091",1.45,1.45,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,108.00,"1,332.00","2,383.00"
1927972279,2016/5/7,"1,510",1.04,1.04,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,48.00,"1,392.00","2,229.00"
1927972279,2016/5/8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/5/9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/5/10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/5/11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,440.00","2,063.00"
1927972279,2016/5/12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.00,"1,383.00"
2022484408,2016/4/12,"11,875",8.34,8.34,0.00,3.31,0.00,0.77,4.26,0.00,42.00,14.00,227.00,"1,157.00","2,390.00"
2022484408,2016/4/13,"12,024",8.50,8.50,0.00,2.99,0.00,0.10,5.41,0.00,43.00,5.00,292.00,"1,100.00","2,601.00"
2022484408,2016/4/14,"10,690",7.50,7.50,0.00,2.48,0.00,0.21,4.82,0.00,32.00,3.00,257.00,"1,148.00","2,312.00"
2022484408,2016/4/15,"11,034",8.03,8.03,0.00,1.94,0.00,0.31,5.78,0.00,27.00,9.00,282.00,"1,122.00","2,525.00"
2022484408,2016/4/16,"10,100",7.09,7.09,0.00,3.15,0.00,0.55,3.39,0.00,41.00,11.00,151.00,"1,237.00","2,177.00"
2022484408,2016/4/17,"15,112",11.40,11.40,0.00,3.87,0.00,0.66,6.88,0.00,28.00,29.00,331.00,"1,052.00","2,782.00"
2022484408,2016/4/18,"14,131",10.07,10.07,0.00,3.64,0.00,0.12,6.30,0.00,48.00,3.00,311.00,"1,078.00","2,770.00"
2022484408,2016/4/19,"11,548",8.53,8.53,0.00,3.29,0.00,0.24,5.00,0.00,31.00,7.00,250.00,"1,152.00","2,489.00"
2022484408,2016/4/20,"15,112",10.67,10.67,0.00,3.34,0.00,1.93,5.40,0.00,48.00,63.00,276.00,"1,053.00","2,897.00"
2022484408,2016/4/21,"12,453",8.74,8.74,0.00,3.33,0.00,1.11,4.31,0.00,104.00,53.00,255.00,"1,028.00","3,158.00"
2022484408,2016/4/22,"12,954",9.33,9.33,0.00,4.43,0.00,0.42,4.47,0.00,52.00,10.00,273.00,"1,105.00","2,638.00"
2022484408,2016/4/23,"6,001",4.21,4.21,0.00,0.00,0.00,0.00,4.21,0.00,0.00,0.00,249.00,"1,191.00","2,069.00"
2022484408,2016/4/24,"13,481",10.28,10.28,0.00,4.55,0.00,1.15,4.58,0.00,37.00,26.00,216.00,"1,161.00","2,529.00"
2022484408,2016/4/25,"11,369",8.01,8.01,0.00,3.33,0.00,0.22,4.46,0.00,44.00,8.00,217.00,"1,171.00","2,470.00"
2022484408,2016/4/26,"10,119",7.19,7.19,0.00,1.43,0.00,0.66,5.11,0.00,55.00,24.00,275.00,"1,086.00","2,793.00"
2022484408,2016/4/27,"10,159",7.13,7.13,0.00,1.04,0.00,0.97,5.12,0.00,19.00,20.00,282.00,"1,119.00","2,463.00"
2022484408,2016/4/28,"10,140",7.12,7.12,0.00,0.41,0.00,1.33,5.39,0.00,6.00,20.00,291.00,"1,123.00","2,296.00"
2022484408,2016/4/29,"10,245",7.19,7.19,0.00,0.48,0.00,1.21,5.50,0.00,21.00,40.00,281.00,"1,098.00","2,611.00"
2022484408,2016/4/30,"18,387",12.91,12.91,0.00,0.94,0.00,1.40,10.57,0.00,13.00,23.00,361.00,"1,043.00","2,732.00"
2022484408,2016/5/1,"10,538",7.40,7.40,0.00,1.94,0.00,0.96,4.50,0.00,25.00,28.00,245.00,"1,142.00","2,380.00"
2022484408,2016/5/2,"10,379",7.29,7.29,0.00,2.61,0.00,0.34,4.33,0.00,36.00,8.00,277.00,"1,119.00","2,473.00"
2022484408,2016/5/3,"12,183",8.74,8.74,0.00,3.99,0.00,0.46,4.28,0.00,72.00,14.00,250.00,"1,104.00","2,752.00"
2022484408,2016/5/4,"11,768",8.29,8.29,0.00,2.51,0.00,0.93,4.85,0.00,36.00,27.00,272.00,"1,105.00","2,649.00"
2022484408,2016/5/5,"11,895",8.35,8.35,0.00,2.79,0.00,0.86,4.70,0.00,55.00,20.00,253.00,"1,112.00","2,609.00"
2022484408,2016/5/6,"10,227",7.18,7.18,0.00,1.87,0.00,0.67,4.64,0.00,24.00,17.00,295.00,"1,104.00","2,498.00"
2022484408,2016/5/7,"6,708",4.71,4.71,0.00,1.61,0.00,0.08,3.02,0.00,20.00,2.00,149.00,"1,269.00","1,995.00"
2022484408,2016/5/8,"3,292",2.31,2.31,0.00,0.00,0.00,0.00,2.31,0.00,0.00,0.00,135.00,"1,305.00","1,848.00"
2022484408,2016/5/9,"13,379",9.39,9.39,0.00,2.12,0.00,1.63,5.64,0.00,35.00,47.00,297.00,"1,061.00","2,709.00"
2022484408,2016/5/10,"12,798",8.98,8.98,0.00,2.22,0.00,1.21,5.56,0.00,57.00,28.00,271.00,"1,084.00","2,797.00"
2022484408,2016/5/11,"13,272",9.32,9.32,0.00,4.18,0.00,1.15,3.99,0.00,58.00,25.00,224.00,"1,133.00","2,544.00"
2022484408,2016/5/12,"9,117",6.41,6.41,0.00,1.28,0.00,0.67,4.44,0.00,16.00,16.00,236.00,728.00,"1,853.00"
